0,1,2,3,4,5
0.140566,0.139999,0.568299,0.087736,0.350537,0.368674
0.095997,0.759068,0.161867,0.277499,0.697033,0.186448
0.450444,0.686453,0.637381,0.729322,0.185119,0.527797
0.157895,0.474405,0.777781,0.649731,0.730067,0.633885
0.314959,0.068647,0.422193,0.212617,0.688950,0.965273
0.836121,0.954505,0.678493,0.700864,0.848497,0.618322
0.494074,0.596758,0.968094,0.597445,0.318260,0.878435
0.702281,0.370094,0.535674,0.771763,0.566825,0.954576
0.097454,0.437997,0.169783,0.875653,0.910462,0.619504
0.565080,0.507719,0.910404,0.191672,0.690123,0.004961
0.025871,0.395100,0.110187,0.949862,0.915442,0.084853
0.161500,0.953273,0.533297,0.779168,0.533419,0.319437
0.457008,0.684803,0.142964,0.370923,0.385432,0.571971
0.097583,0.852312,0.614535,0.322834,0.058447,0.355680
0.239939,0.017721,0.282974,0.562112,0.803435,0.245883
0.589135,0.847682,0.169156,0.864883,0.431212,0.598529
0.060688,0.373868,0.809672,0.946919,0.233974,0.482377
0.507488,0.773373,0.882683,0.556451,0.540032,0.065621
0.805698,0.096068,0.793877,0.654910,0.690547,0.192528
0.527862,0.100872,0.168151,0.919709,0.575511,0.384359
0.926459,0.172314,0.998817,0.836612,0.126144,0.589728
0.036158,0.029539,0.354113,0.472784,0.296664,0.535414
0.303216,0.029184,0.228714,0.731566,0.473195,0.941748
0.963237,0.828453,0.634907,0.206828,0.412963,0.701768
0.165120,0.910883,0.983516,0.382373,0.030235,0.333770
0.231996,0.730699,0.391806,0.713461,0.969621,0.584678
0.400390,0.125324,0.156857,0.872253,0.918633,0.301536
0.435786,0.842252,0.602161,0.042923,0.474354,0.363160
0.355986,0.211085,0.397152,0.633649,0.943375,0.133578
0.294825,0.286005,0.199890,0.002259,0.708486,0.594751
0.510708,0.119007,0.848502,0.595654,0.170327,0.736525
0.758232,0.318931,0.592195,0.536700,0.744832,0.709543
0.239167,0.290519,0.294425,0.613433,0.859642,0.848791
0.673138,0.591582,0.240171,0.147318,0.621545,0.904426
0.136503,0.593560,0.999913,0.384718,0.208360,0.717653
0.246172,0.818705,0.607654,0.621832,0.705200,0.191049
0.182432,0.827797,0.910417,0.953956,0.222901,0.541567
0.752276,0.950222,0.913993,0.044407,0.803451,0.681023
0.848621,0.135484,0.570777,0.520465,0.045750,0.573676
0.355484,0.878564,0.278997,0.598714,0.978170,0.658368
0.372787,0.970255,0.417530,0.457373,0.493587,0.127572
0.320914,0.740478,0.383184,0.783351,0.834747,0.701644
0.585289,0.797840,0.797362,0.006250,0.484395,0.518812
0.961525,0.311448,0.401732,0.691232,0.321898,0.359234
0.054232,0.987145,0.788841,0.793244,0.778223,0.191656
0.135494,0.411506,0.284324,0.659659,0.405364,0.775235
0.819688,0.583557,0.477321,0.899076,0.685462,0.840710
0.548647,0.668509,0.331812,0.932832,0.693518,0.119691
0.295786,0.878418,0.811864,0.494003,0.883167,0.889868
0.123895,0.186548,0.212140,0.440816,0.613070,0.634375
0.309322,0.841545,0.064925,0.252108,0.818577,0.811358
0.037648,0.248492,0.164955,0.687081,0.215246,0.646743
0.163635,0.108688,0.860081,0.034806,0.845716,0.327901
0.788097,0.846500,0.302944,0.326716,0.521200,0.436251
0.844935,0.507242,0.764120,0.677252,0.572193,0.819257
0.170797,0.035353,0.671276,0.170219,0.756358,0.952639
0.748101,0.587896,0.647237,0.638460,0.702237,0.526230
0.926282,0.119491,0.553709,0.011318,0.098488,0.328645
0.577903,0.643781,0.635620,0.596819,0.355620,0.995045
0.528668,0.736547,0.732520,0.737733,0.590582,0.671321
0.587254,0.723486,0.632223,0.081242,0.248811,0.530976
0.682397,0.936193,0.367848,0.321390,0.770830,0.062061
0.414442,0.893162,0.742347,0.982561,0.826837,0.273238
0.421802,0.755609,0.441215,0.637892,0.016547,0.995531
0.060665,0.510092,0.207669,0.794045,0.862374,0.467038
0.471451,0.605806,0.595635,0.159851,0.422627,0.525120
0.961842,0.508738,0.223044,0.705282,0.405523,0.189713
0.875328,0.119174,0.618635,0.515711,0.445885,0.363526
0.369917,0.441712,0.023324,0.504934,0.894677,0.186705
0.313307,0.680046,0.280957,0.029147,0.376540,0.567990
0.279436,0.195793,0.088383,0.406951,0.793843,0.004073
0.584614,0.032965,0.025253,0.582259,0.950809,0.039555
0.409659,0.133106,0.187409,0.406508,0.223886,0.313398
0.687124,0.217473,0.567147,0.200124,0.234775,0.485682
0.024545,0.746268,0.751808,0.340422,0.560834,0.170897
0.587224,0.098195,0.170325,0.503591,0.967990,0.552012
0.575724,0.050734,0.357155,0.296672,0.402189,0.969328
0.666951,0.148320,0.099790,0.616264,0.191305,0.801280
0.202266,0.763849,0.767233,0.991106,0.960601,0.773673
0.367315,0.471194,0.907796,0.119476,0.437232,0.561729
0.093415,0.784319,0.239644,0.433381,0.365680,0.121346
0.967957,0.454868,0.695536,0.445378,0.930137,0.092946
0.214778,0.463490,0.245607,0.273929,0.321779,0.930481
0.789373,0.381270,0.740045,0.497999,0.949790,0.458410
0.175535,0.978634,0.103262,0.040858,0.276262,0.498246
0.551835,0.629749,0.764965,0.627302,0.650415,0.968783
0.646725,0.290948,0.376658,0.609010,0.763591,0.124367
0.595392,0.267091,0.304925,0.161987,0.650389,0.107538
0.059957,0.626961,0.950504,0.029974,0.773157,0.456081
0.205896,0.123470,0.431601,0.767455,0.080495,0.886985
0.970952,0.657689,0.345545,0.486519,0.105747,0.574205
0.514949,0.265964,0.150061,0.181401,0.144751,0.808087
0.719930,0.470253,0.537140,0.929189,0.232365,0.518597
0.694622,0.118836,0.080129,0.540450,0.438585,0.987005
0.787893,0.629785,0.497610,0.634560,0.572822,0.040966
0.881971,0.214919,0.969931,0.531261,0.111152,0.210410
0.436247,0.055937,0.437199,0.769330,0.279380,0.336723
0.715520,0.878881,0.917438,0.066709,0.648410,0.625775
0.891624,0.946204,0.119355,0.293443,0.743380,0.016019
0.293297,0.360802,0.789105,0.141874,0.925440,0.920374
0.453585,0.037903,0.066612,0.979032,0.040160,0.003066
0.722875,0.667423,0.974820,0.697900,0.070237,0.094011
0.157616,0.890149,0.574296,0.738828,0.099043,0.897775
0.532957,0.180901,0.774365,0.660875,0.328168,0.848943
0.413936,0.743147,0.153487,0.258215,0.411149,0.394796
0.593126,0.603203,0.320556,0.061610,0.879164,0.846799
0.107717,0.401544,0.377894,0.670006,0.154606,0.385007
0.119237,0.035930,0.623844,0.276793,0.334769,0.926742
0.041230,0.752726,0.393107,0.275352,0.631295,0.650419
